,bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m
0,36 Limousine,09:00:00,Văn phòng,11:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150
1,Vân Anh Limousine,13:00:00,Bến xe,16:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180
2,Thành Trung Limousine,07:00:00,Văn phòng,09:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,9,230000,210000,9.0,Wednesday,15-10-2025,120
3,Vĩnh Quang,11:25:00,Văn phòng,13:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150
4,Thơm Phụng,15:30:00,Bến xe,17:45:00,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,46,150000,0,0.0,Wednesday,15-10-2025,135
5,Đức Phát,13:00:00,Văn phòng,15:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,Wednesday,15-10-2025,150
6,Bình Hoài Limousine,15:00:00,Văn phòng,17:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170
7,An Phát,10:00:00,Văn phòng,13:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180
8,FUTA HÀ SƠN,17:30:00,Bến xe,20:00:00,Other,Hà Nội,Thanh Hóa,4.9,4.7,4.8,4.8,4.8,4.7,4.8,4.8,318,34,300000,0,0.0,Wednesday,15-10-2025,150
9,Thăng Long,22:10:00,Other,02:55:00,Other,Hà Nội,Thanh Hóa,4.8,4.7,4.8,4.7,4.4,4.5,4.8,4.6,438,40,200000,0,0.0,Wednesday,15-10-2025,285
10,36 Limousine,20:00:00,Văn phòng,22:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150
11,Vĩnh Quang,10:25:00,Văn phòng,12:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150
12,Thành Trung Limousine,20:00:00,Văn phòng,22:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120
13,Thơm Phụng,16:30:00,Bến xe,18:45:00,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,200000,0,0.0,Wednesday,15-10-2025,135
14,Đức Phát,13:00:00,Bến xe,15:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150
15,Vân Anh Limousine,20:00:00,Bến xe,23:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180
16,Bình Hoài Limousine,14:00:00,Văn phòng,16:50:00,Other,Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6,4.0,297,10,230000,0,0.0,Wednesday,15-10-2025,170
17,An Phát,19:00:00,Văn phòng,22:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0,4.0,23,7,250000,0,0.0,Wednesday,15-10-2025,180
18,FUTA HÀ SƠN,23:50:00,Bến xe,01:50:00,Other,Hà Nội,Thanh Hóa,4.9,4.7,4.8,4.8,4.8,4.7,4.8,4.8,318,34,200000,0,0.0,Wednesday,15-10-2025,120
19,Thăng Long,23:15:00,Bến xe,02:15:00,Other,Hà Nội,Thanh Hóa,4.8,4.7,4.8,4.7,4.4,4.5,4.8,4.6,438,40,200000,0,0.0,Wednesday,15-10-2025,180
20,Nam Quỳnh Anh,21:30:00,Bến xe,02:30:00,Other,Hà Nội,Thanh Hóa,4.5,4.3,4.5,4.2,4.2,4.2,4.7,4.2,2035,22,350000,0,0.0,Wednesday,15-10-2025,300
21,HM Happycar,20:00:00,Other,23:00:00,Other,Hà Nội,Thanh Hóa,4.6,4.5,4.6,4.5,4.6,4.5,4.6,4.6,264,24,300000,0,0.0,Wednesday,15-10-2025,180
22,Phú Quý,22:40:00,Bến xe,01:40:00,Other,Hà Nội,Thanh Hóa,4.4,4.3,4.4,4.5,4.1,4.2,4.9,4.3,468,22,400000,0,0.0,Wednesday,15-10-2025,180
23,Bảo Ngọc Limousine,17:00:00,Bến xe,19:25:00,Other,Hà Nội,Thanh Hóa,4.8,4.9,4.9,4.9,4.2,4.2,5.0,4.2,18,32,220000,0,0.0,Wednesday,15-10-2025,145
24,36 Limousine,15:00:00,Văn phòng,17:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150
25,36 Limousine,05:30:00,Văn phòng,08:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150
26,36 Limousine,18:00:00,Văn phòng,20:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,502,11,230000,0,0.0,Wednesday,15-10-2025,150
27,Thành Trung Limousine,15:00:00,Văn phòng,17:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120
28,Thành Trung Limousine,19:00:00,Văn phòng,21:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120
29,Đức Phát,20:00:00,Bến xe,22:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150
30,Đức Phát,16:00:00,Văn phòng,18:30:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,11,210000,0,0.0,Wednesday,15-10-2025,150
31,Đức Phát,08:05:00,Bến xe,10:35:00,Bến xe,Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8,4.7,87,24,250000,0,0.0,Wednesday,15-10-2025,150
32,Thành Trung Limousine,14:00:00,Văn phòng,16:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120
33,Thơm Phụng,10:00:00,Bến xe,12:15:00,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,200000,0,0.0,Wednesday,15-10-2025,135
34,Vân Anh Limousine,11:00:00,Bến xe,14:00:00,Bến xe,Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.8,32,24,230000,200000,13.0,Wednesday,15-10-2025,180
35,Vĩnh Quang,17:25:00,Văn phòng,19:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150
36,Thơm Phụng,13:30:00,Bến xe,15:45:00,Other,Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0,4.6,18,24,200000,0,0.0,Wednesday,15-10-2025,135
37,Vĩnh Quang,20:25:00,Văn phòng,22:55:00,Văn phòng,Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,25,10,170000,0,0.0,Wednesday,15-10-2025,150
